iter	Passed	Remaining
404	8219	12075
405	8237	12052
406	8256	12029
407	8277	12010
408	8294	11985
409	8312	11962
410	8329	11936
411	8349	11916
412	8368	11893
413	8385	11868
414	8401	11842
415	8419	11819
416	8438	11797
417	8456	11774
418	8478	11757
419	8503	11742
420	8519	11716
421	8538	11694
422	8556	11671
423	8575	11649
424	8594	11627
425	8615	11608
426	8634	11587
427	8653	11565
428	8675	11546
429	8693	11523
430	8711	11500
431	8727	11475
432	8746	11453
433	8764	11430
434	8783	11408
435	8802	11386
436	8819	11362
437	8839	11341
438	8858	11320
439	8875	11296
440	8892	11272
441	8913	11252
442	8932	11230
443	8952	11210
444	8969	11186
445	8985	11161
446	9001	11136
447	9018	11112
448	9039	11092
449	9057	11069
450	9072	11043
451	9092	11023
452	9117	11009
453	9135	10986
454	9152	10962
455	9172	10943
456	9189	10918
457	9209	10898
458	9226	10874
459	9246	10854
460	9264	10831
461	9282	10810
462	9301	10787
463	9319	10765
464	9338	10744
465	9360	10726
466	9377	10702
467	9395	10680
468	9415	10660
469	9433	10637
470	9454	10618
471	9475	10599
472	9492	10576
473	9513	10557
474	9531	10534
475	9553	10516
476	9570	10493
477	9589	10472
478	9606	10449
479	9625	10427
480	9647	10409
481	9665	10387
482	9682	10364
483	9707	10349
484	9726	10328
485	9745	10307
486	9764	10285
487	9781	10262
488	9800	10241
489	9817	10218
490	9839	10200
491	9861	10181
492	9881	10161
493	9901	10142
494	9919	10120
495	9938	10099
496	9957	10078
497	9975	10055
498	9994	10034
499	10013	10013
500	10032	9992
501	10048	9968
502	10066	9946
503	10083	9923
504	10100	9900
505	10119	9879
506	10138	9858
507	10156	9836
508	10176	9816
509	10194	9794
510	10215	9775
511	10232	9752
512	10252	9733
513	10272	9713
514	10291	9691
515	10312	9672
516	10332	9652
517	10352	9633
518	10372	9612
519	10391	9591
520	10411	9571
521	10431	9551
522	10450	9531
523	10466	9507
524	10485	9486
525	10503	9465
526	10519	9441
527	10539	9421
528	10556	9398
529	10570	9374
530	10588	9352
531	10605	9329
532	10620	9305
533	10639	9284
534	10656	9262
535	10676	9241
536	10692	9219
537	10710	9197
538	10730	9177
539	10750	9157
540	10769	9136
541	10786	9114
542	10806	9094
543	10827	9076
544	10846	9055
545	10866	9035
546	10883	9013
547	10900	8991
548	10920	8971
549	10939	8950
550	10961	8932
551	10978	8909
552	10995	8887
553	11014	8867
554	11034	8847
555	11054	8827
556	11073	8807
557	11092	8786
558	11109	8764
559	11126	8741
560	11145	8721
561	11161	8698
562	11176	8675
563	11193	8653
564	11212	8632
565	11233	8614
566	11250	8591
567	11268	8570
568	11290	8552
569	11310	8532
570	11332	8514
571	11352	8494
572	11375	8476
573	11391	8454
574	11407	8431
575	11427	8411
576	11443	8389
577	11463	8369
578	11482	8348
579	11500	8328
580	11533	8317
581	11573	8312
582	11614	8307
583	11652	8300
584	11693	8295
585	11771	8316
586	11796	8299
587	11856	8307
588	11878	8288
589	11900	8269
590	11929	8255
591	11951	8237
592	11977	8220
593	12001	8202
594	12024	8184
595	12067	8179
596	12088	8160
597	12115	8144
598	12160	8140
599	12203	8135
600	12244	8129
601	12268	8110
602	12285	8088
603	12302	8066
604	12320	8043
605	12336	8020
606	12357	8000
607	12375	7979
608	12393	7957
609	12410	7934
610	12427	7911
611	12447	7891
612	12465	7869
613	12486	7849
614	12519	7837
615	12566	7833
616	12595	7818
617	12610	7795
618	12630	7773
619	12647	7751
620	12663	7728
621	12687	7710
622	12708	7690
623	12724	7667
624	12740	7644
625	12759	7623
626	12776	7600
627	12793	7578
628	12812	7557
629	12833	7537
630	12852	7516
631	12871	7494
632	12891	7474
633	12912	7454
634	12932	7433
635	12948	7410
636	12967	7389
637	12984	7367
638	13001	7345
639	13020	7324
640	13038	7302
641	13058	7281
642	13073	7258
643	13089	7235
644	13108	7214
645	13127	7193
646	13148	7173
647	13166	7152
648	13186	7131
649	13204	7110
650	13220	7087
651	13240	7066
652	13259	7046
653	13280	7026
654	13297	7004
655	13317	6983
656	13335	6962
657	13354	6940
658	13377	6921
659	13395	6900
660	13415	6880
661	13433	6858
662	13451	6837
663	13468	6815
664	13484	6792
665	13501	6771
666	13519	6749
667	13537	6728
668	13553	6706
669	13573	6685
670	13590	6663
671	13610	6643
672	13627	6621
673	13644	6599
674	13662	6578
