iter	RMSE
662	6465260.482
663	6463860.407
664	6462260.918
665	6460388.292
666	6459396.789
667	6457768.755
668	6456802.548
669	6456445.024
670	6455400.954
671	6452213.17
672	6451426.577
673	6449890.305
674	6448527.333
675	6447343.49
676	6445314.805
677	6444526.269
678	6443129.367
679	6441869.822
680	6440014.709
681	6437162.754
682	6435971.855
683	6433050.768
684	6431825.165
685	6430269.839
686	6429751.258
687	6427316.859
688	6423606.054
689	6422342.335
690	6420966.329
691	6419666.054
692	6417706.116
693	6417145.277
694	6415879.827
695	6414776.874
696	6414335.424
697	6413513.554
698	6412446.662
699	6411751.807
700	6410811.173
701	6408067.103
702	6406815.885
703	6405856.587
704	6405058.371
705	6403770.96
706	6402862.792
707	6400369.387
708	6399395.383
709	6398133.296
710	6396471.752
711	6395882.099
712	6392754.406
713	6390049.949
714	6387422.772
715	6386128.836
716	6384885.273
717	6381979.339
718	6379212.513
719	6378653.141
720	6376407.3
721	6373766.581
722	6371608.434
723	6370754.276
724	6368921.679
725	6367732.11
726	6364232.56
727	6362737.045
728	6361408.306
729	6360480.856
730	6359871.744
731	6358610.603
732	6357883.014
733	6356306.934
734	6355653.434
735	6354135.827
736	6352579.811
737	6351735.126
738	6350166.911
739	6348975.282
740	6346878.576
741	6346139.393
742	6345202.396
743	6342107.726
744	6340952.495
745	6340354.332
746	6338382.377
747	6335227.705
748	6334341.464
749	6332769.591
750	6331863.5
751	6330129.648
752	6328565.634
753	6326856.024
754	6326241.259
755	6325349.093
756	6323319.64
757	6321964.13
758	6320293.84
759	6318638.707
760	6316480.489
761	6315284.371
762	6314546.886
763	6313952.864
764	6313334.703
765	6311973.131
766	6309449.935
767	6309106.385
768	6307099.101
769	6306243.563
770	6304686.858
771	6304273.752
772	6303510.916
773	6301570.713
774	6299016.097
775	6297530.029
776	6294560.027
777	6291633.986
778	6290559.807
779	6289669.598
780	6289030.131
781	6287225.324
782	6284897.725
783	6282831.158
784	6280873.908
785	6278181.762
786	6277069.382
787	6274345.246
788	6273396.825
789	6272007.237
790	6271174.8
791	6269863.186
792	6268525.221
793	6267303.136
794	6265741.758
795	6265137.715
796	6262730.555
797	6260677.701
798	6259173.282
799	6258704.142
800	6257038.442
801	6255951.343
802	6254617.438
803	6253270.019
804	6252331.937
805	6251583.777
806	6250009.756
807	6247594.858
808	6246471.994
809	6244847.116
810	6244130.478
811	6242569.436
812	6241577.442
813	6239717.774
814	6238710.376
815	6237474.885
816	6236881.453
817	6235311.608
818	6234760.081
819	6234284.15
820	6233090.366
821	6232515.495
822	6231825.396
823	6231291.458
824	6229835.41
825	6228853.943
826	6228618.245
827	6227736.998
828	6226864.115
829	6225630.953
830	6223170.666
831	6222207.445
832	6221230.401
833	6220206.302
834	6218409.964
835	6217698.225
836	6216094.215
837	6214106.652
838	6212949.461
839	6211115.294
840	6210002.661
841	6208884.746
842	6207769.197
843	6206496.083
844	6205856.218
845	6204734.005
846	6203289.782
847	6201702.331
848	6200782.696
849	6199267.647
850	6198162.728
851	6197203.624
852	6196137.848
853	6195786.64
854	6192219.353
855	6190787.668
856	6189464.97
857	6187977.889
858	6187397.472
859	6185659.922
860	6183367.661
861	6181044.909
862	6179618.625
863	6178153.486
864	6176616.279
865	6175648.482
866	6174256.533
867	6172072.422
868	6170450.26
869	6169460.226
870	6168784.881
871	6167761.691
872	6166197.464
873	6165381.458
874	6163890.882
875	6163421.228
876	6161989.47
877	6160860.843
878	6159873.379
879	6158074.091
880	6156514.472
881	6155055.659
882	6154480.793
883	6152854.914
884	6152015.699
885	6151271.701
886	6150929.624
887	6148592.275
888	6147612.314
889	6146882.228
890	6146061.605
891	6143826.318
892	6143043.381
893	6141137.303
894	6140419.509
895	6138844.349
896	6137594.006
897	6134965.015
898	6133099.531
899	6131524.79
900	6130894.477
901	6129609.975
902	6128256.274
903	6127040.025
904	6125894.798
905	6125311.241
906	6123350.926
907	6121957.496
908	6120879.673
909	6120152.213
910	6117840.22
911	6116742.348
912	6115144.293
913	6114442.639
914	6112394.47
915	6111252.267
916	6109756.143
917	6107664.661
918	6106898.114
919	6106141.844
920	6104647.365
921	6103164.701
922	6101341.128
923	6097896.114
924	6095767.398
925	6095305.828
926	6094305.838
927	6092182.736
928	6091677.471
929	6090162.815
930	6088637.45
931	6087761.369
932	6085989.49
933	6085434.279
934	6083825.079
935	6082111.731
936	6080753.55
937	6079186.2
938	6078097.146
939	6077541.383
940	6076742.646
941	6075572.336
942	6073279.809
943	6071694.521
944	6070803.685
945	6068963.176
946	6067637.946
947	6067285.292
948	6065754.453
949	6064876.759
950	6064017.006
951	6062424.732
952	6061270.792
953	6060485.441
954	6058713.86
955	6057699.979
956	6056811.845
957	6055850.024
958	6054898.459
959	6054356.223
960	6052858.197
961	6051434.575
962	6048778.801
963	6047926.658
964	6046395.053
965	6045095.693
966	6043904.175
967	6042914.83
968	6042538.099
969	6041735.595
970	6040265.702
971	6039561.359
972	6038722.869
973	6037767.539
974	6036882.594
975	6036555.611
976	6035336.699
977	6034568.482
978	6032955.154
979	6031375.989
980	6030493.077
981	6029876.608
982	6029022.617
983	6027340.913
984	6026379.849
985	6025315.216
986	6023758.813
987	6022224.586
988	6020254.811
989	6018711.147
990	6016932.973
991	6016142.87
992	6015154.401
993	6014103.761
994	6011804.795
995	6011369.286
996	6010389.612
997	6008649.036
998	6008100.771
999	6007293.678
