iter	Passed	Remaining
410	4183	5995
411	4194	5986
412	4204	5975
413	4213	5963
414	4223	5953
415	4234	5944
416	4244	5934
417	4254	5924
418	4266	5915
419	4278	5908
420	4288	5897
421	4298	5887
422	4308	5877
423	4319	5867
424	4328	5856
425	4339	5847
426	4351	5838
427	4361	5828
428	4372	5820
429	4383	5810
430	4393	5800
431	4402	5789
432	4413	5779
433	4423	5769
434	4434	5759
435	4444	5749
436	4454	5738
437	4464	5729
438	4474	5718
439	4484	5707
440	4493	5695
441	4505	5687
442	4515	5676
443	4524	5666
444	4533	5654
445	4542	5642
446	4551	5630
447	4561	5619
448	4572	5611
449	4582	5601
450	4591	5589
451	4602	5580
452	4612	5569
453	4622	5559
454	4631	5547
455	4643	5539
456	4652	5527
457	4662	5517
458	4671	5506
459	4682	5496
460	4692	5486
461	4702	5476
462	4712	5465
463	4721	5454
464	4731	5444
465	4741	5433
466	4751	5422
467	4761	5412
468	4770	5400
469	4779	5389
470	4790	5380
471	4801	5370
472	4811	5360
473	4821	5350
474	4832	5340
475	4842	5330
476	4851	5319
477	4861	5309
478	4870	5297
479	4881	5288
480	4892	5279
481	4902	5268
482	4912	5257
483	4923	5249
484	4934	5239
485	4943	5228
486	4953	5218
487	4963	5207
488	4972	5196
489	4982	5185
490	4992	5175
491	5004	5167
492	5015	5158
493	5025	5147
494	5035	5136
495	5043	5125
496	5054	5115
497	5063	5104
498	5074	5095
499	5085	5085
500	5095	5074
501	5104	5064
502	5114	5053
503	5124	5043
504	5136	5034
505	5145	5023
506	5156	5013
507	5166	5004
508	5177	4994
509	5187	4983
510	5197	4974
511	5207	4963
512	5219	4954
513	5229	4944
514	5239	4934
515	5250	4925
516	5262	4916
517	5272	4906
518	5282	4895
519	5292	4885
520	5303	4875
521	5313	4865
522	5323	4855
523	5332	4844
524	5343	4834
525	5352	4823
526	5362	4812
527	5372	4802
528	5383	4793
529	5392	4781
530	5401	4770
531	5410	4759
532	5420	4749
533	5429	4738
534	5439	4727
535	5449	4717
536	5458	4706
537	5469	4696
538	5479	4686
539	5490	4677
540	5500	4666
541	5509	4655
542	5520	4646
543	5531	4636
544	5541	4626
545	5551	4616
546	5561	4605
547	5571	4595
548	5581	4584
